Label,SiO2,TiO2,Al2O3,Fe2O3,Cr2O3,FeO,MnO,MgO,NiO,CoO,CaO,Na2O,K2O,P2O5,H2O,CO2,Press,Temp,XH2O_fl_VESIcal,XCO2_fl_VESIcal,SaturationP_bars_VESIcal,FluidMass_grams_VESIcal,FluidSystem_wt_VESIcal,Temperature_C_VESIcal,Model
BT-ex,77.5,0.08,12.5,0.207,0,0.473,0,0.03,0,0,0.43,3.98,4.88,0,5.5,0.05,500,900,0.768139685,0.231860315,2310,0.000848245,0.000803034,925,MagmaSat
TVZMa-ex,78.37,0.13,11.94,0,0,0.99,0.04,0.05,0,0,0.53,3.8,4.14,0,4.06,0.005,600,800,0.942370315,0.057629685,1010,0.001807938,0.001737483,925,MagmaSat
TVZOh-ex,77.9,0.08,12.15,0,0,0.95,0.05,0.06,0,0,0.55,4.05,4.12,0,4.63,0.005,50,900,0.954437281,0.045562719,1220,0.003163002,0.003025494,925,MagmaSat
Oh48-FTIR1-MI1-a,78.27,0.0298,12.02,0,0,0.9828,0.0336,0.0515,0,0,0.4772,4.05,4.09,0,4.214912406,0.004565932,250,950,0.95161121,0.04838879,1050,0.004152364,0.003984062,925,MagmaSat
Oh48-FTIR1-MI1-b,78.27,0.0298,12.02,0,0,0.9828,0.0336,0.0515,0,0,0.4772,4.05,4.09,0,4.005815793,0.004447963,500,1025,0.944058355,0.055941645,980,0.000797395,0.000766614,925,MagmaSat
Oh48-FTIR1-MI1-IRc,78.27,0.0298,12.02,0,0,0.9828,0.0336,0.0515,0,0,0.4772,4.05,4.09,0,3.885649341,0.004654367,5000,925,0.939086525,0.060913475,940,0.001188332,0.001143779,925,MagmaSat
Oh50-4.1,77.91,0.0984,12.07,0,0,1.0556,0.0257,0.0999,0,0,0.5216,4.04,4.18,0,4.641842879,0.004565932,1000,862,0.95753933,0.04246067,1220,0.001896514,0.001812286,925,MagmaSat
Oh50-4.2,77.91,0.0984,12.07,0,0,1.0556,0.0257,0.0999,0,0,0.5216,4.04,4.18,0,4.402133476,0.004447963,100,770,0.952829512,0.047170488,1130,0.000511275,0.000489691,925,MagmaSat
Oh49-4.1,77.92,0.0099,12.11,0,0,1.002,0.0672,0.0546,0,0,0.5346,4.01,4.3,0,4.283934433,0.004565932,1000,855,0.950999671,0.049000329,1080,0.002576556,0.002470408,925,MagmaSat
Oh49-4.2,77.92,0.0099,12.11,0,0,1.002,0.0672,0.0546,0,0,0.5346,4.01,4.3,0,4.230532593,0.004447963,500,1000,0.950291892,0.049708108,1060,0.001865629,0.001789687,925,MagmaSat
Ma55-5a.1,77.68,0.0096,12.27,0,0,1.0272,0.0628,0.0342,0,0,0.6064,3.97,4.35,0,4.459767403,0.004654367,5000,1010,0.953964501,0.046035499,1150,0.002979731,0.00285211,925,MagmaSat
Ma57-3b.2,77.9,0.0498,12.07,0,0,1.0844,0.0748,0.0355,0,0,0.4759,4.1,4.21,0,3.712506046,0.004447963,1000,1012,0.934762559,0.065237441,880,0.000346152,0.000333745,925,MagmaSat
Ma57-3c.1,77.65,0.159,12.28,0,0,0.9769,0.0597,0.0577,0,0,0.5598,4.08,4.18,0.0064,4.443973024,0.004654367,100,885,0.952848368,0.047151632,1150,0.001909652,0.00182815,925,MagmaSat
Ma57-3c.2,77.65,0.159,12.28,0,0,0.9769,0.0597,0.0577,0,0,0.5598,4.08,4.18,0.0064,4.283171078,0.004644523,1000,885,0.949478855,0.050521145,1090,0.001755671,0.001683333,925,MagmaSat